OD,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0340,0.0348,0.0338,0.0342,0.0306,0.0339,0.0335,0.0329,0.1339,0.0331,0.0328,0.0333
B,0.0414,0.0349,0.0328,0.0334,0.0328,0.0326,0.0342,0.0330,0.0320,0.0334,0.0326,0.1771
C,0.0342,0.0340,0.0329,0.0332,0.0347,0.0325,0.0329,0.1252,0.0338,0.0330,0.0327,0.0337
D,0.0334,0.0334,0.0331,0.0331,0.0321,0.0323,0.0323,0.0319,0.0373,0.0330,0.0334,0.0850
E,0.0331,0.0368,0.0328,0.0320,0.0325,0.0324,0.0325,0.0319,0.0326,0.0326,0.0329,0.0325
F,0.0344,0.0340,0.0333,0.0331,0.0377,0.0314,0.0318,0.0331,0.0914,0.0325,0.0324,0.0334
G,0.0330,0.0492,0.0327,0.0346,0.0352,0.0319,0.0322,0.0318,0.0327,0.1839,0.0370,0.0334
H,0.0349,0.0341,0.0337,0.0349,0.0387,0.0342,0.0325,0.0332,0.0331,0.0332,0.0328,0.0345
