OD,1,2,3,4,5,6,7,8,9,10,11,12
A,0.1580,0.1689,0.1585,0.1433,0.0618,0.1471,0.1637,0.1259,0.1323,0.1353,0.1276,0.1309
B,0.1427,0.1755,0.1467,0.1692,0.1687,0.1640,0.1877,0.1303,0.1261,0.1293,0.1261,0.1348
C,0.1571,0.1905,0.1892,0.1706,0.1710,0.2129,0.1865,0.1276,0.1410,0.1036,0.1364,0.1295
D,0.1576,0.2122,0.2148,0.2080,0.1772,0.1879,0.1988,0.1107,0.1533,0.1460,0.1356,0.1302
E,0.1650,0.1889,0.1584,0.2279,0.2188,0.1759,0.1692,0.1692,0.1443,0.2679,0.2076,0.1366
F,0.1606,0.1930,0.2468,0.3283,0.2209,0.2652,0.0831,0.1838,0.2051,0.1872,0.0940,0.1503
G,0.1460,0.1633,0.2430,0.2046,0.2044,0.1612,0.1093,0.1670,0.1975,0.1393,0.1693,0.1238
H,0.1651,0.1557,0.1538,0.1484,0.1802,0.1434,0.1636,0.1758,0.1555,0.1951,0.1321,0.1316
